vg	-I(Vds)
Step Information: VÂ§tj=25 Vds=1  (Run: 1/6)
3.320000000000003e+000	1.321056e-001
3.340000000000003e+000	1.388521e-001
3.360000000000003e+000	1.458992e-001
3.380000000000003e+000	1.532575e-001
3.400000000000003e+000	1.609375e-001
3.420000000000003e+000	1.689504e-001
3.440000000000003e+000	1.773071e-001
3.460000000000003e+000	1.860190e-001
3.480000000000003e+000	1.950976e-001
3.500000000000003e+000	2.045545e-001
3.520000000000003e+000	2.144015e-001
3.540000000000003e+000	2.246507e-001
3.560000000000003e+000	2.353141e-001
3.580000000000003e+000	2.464041e-001
3.600000000000003e+000	2.579330e-001
3.620000000000003e+000	2.699134e-001
3.640000000000003e+000	2.823579e-001
3.660000000000003e+000	2.952793e-001
3.680000000000003e+000	3.086904e-001
3.700000000000003e+000	3.226042e-001
3.720000000000003e+000	3.370337e-001
3.740000000000003e+000	3.519919e-001
3.760000000000003e+000	3.674920e-001
3.780000000000003e+000	3.835471e-001
3.800000000000003e+000	4.001705e-001
3.820000000000003e+000	4.173754e-001
3.840000000000003e+000	4.351750e-001
3.860000000000003e+000	4.535826e-001
3.880000000000003e+000	4.726112e-001
3.900000000000003e+000	4.922743e-001
3.920000000000003e+000	5.125848e-001
3.940000000000003e+000	5.335559e-001
3.960000000000003e+000	5.552006e-001
3.980000000000003e+000	5.775319e-001
4.000000000000003e+000	6.005627e-001
4.020000000000002e+000	6.243057e-001
4.040000000000002e+000	6.487735e-001
4.060000000000001e+000	6.739788e-001
4.080000000000001e+000	6.999339e-001
4.100000000000001e+000	7.266511e-001
4.120000000000000e+000	7.541426e-001
4.140000000000000e+000	7.824202e-001
4.159999999999999e+000	8.114957e-001
4.179999999999999e+000	8.413807e-001
4.199999999999998e+000	8.720865e-001
4.219999999999998e+000	9.036245e-001
4.239999999999998e+000	9.360053e-001
4.259999999999997e+000	9.692399e-001
4.279999999999997e+000	1.003339e+000
4.299999999999996e+000	1.038312e+000
4.319999999999996e+000	1.074169e+000
4.339999999999995e+000	1.110920e+000
4.359999999999995e+000	1.148575e+000
4.379999999999995e+000	1.187142e+000
4.399999999999994e+000	1.226631e+000
4.419999999999994e+000	1.267049e+000
4.439999999999993e+000	1.308405e+000
4.459999999999993e+000	1.350707e+000
4.479999999999992e+000	1.393962e+000
4.499999999999992e+000	1.438178e+000
4.519999999999992e+000	1.483361e+000
4.539999999999991e+000	1.529517e+000
4.559999999999991e+000	1.576654e+000
4.579999999999990e+000	1.624775e+000
4.599999999999990e+000	1.673887e+000
4.619999999999989e+000	1.723995e+000
4.639999999999989e+000	1.775102e+000
4.659999999999989e+000	1.827213e+000
4.679999999999988e+000	1.880332e+000
4.699999999999988e+000	1.934462e+000
4.719999999999987e+000	1.989604e+000
4.739999999999987e+000	2.045763e+000
4.759999999999987e+000	2.102939e+000
4.779999999999986e+000	2.161134e+000
4.799999999999986e+000	2.220348e+000
4.819999999999985e+000	2.280582e+000
4.839999999999985e+000	2.341836e+000
4.859999999999984e+000	2.404110e+000
4.879999999999984e+000	2.467401e+000
4.899999999999984e+000	2.531709e+000
4.919999999999983e+000	2.597031e+000
4.939999999999983e+000	2.663364e+000
4.959999999999982e+000	2.730706e+000
4.979999999999982e+000	2.799052e+000
4.999999999999981e+000	2.868399e+000
5.019999999999981e+000	2.938741e+000
5.039999999999981e+000	3.010072e+000
5.059999999999980e+000	3.082388e+000
5.079999999999980e+000	3.155681e+000
5.099999999999979e+000	3.229945e+000
5.119999999999979e+000	3.305171e+000
5.139999999999978e+000	3.381352e+000
5.159999999999978e+000	3.458478e+000
5.179999999999978e+000	3.536542e+000
5.199999999999977e+000	3.615532e+000
5.219999999999977e+000	3.695438e+000
5.239999999999976e+000	3.776250e+000
5.259999999999976e+000	3.857955e+000
5.279999999999975e+000	3.940543e+000
5.299999999999975e+000	4.024000e+000
5.319999999999975e+000	4.108314e+000
5.339999999999974e+000	4.193471e+000
5.359999999999974e+000	4.279457e+000
5.379999999999973e+000	4.366257e+000
5.399999999999973e+000	4.453857e+000
5.419999999999972e+000	4.542242e+000
5.439999999999972e+000	4.631395e+000
5.459999999999972e+000	4.721300e+000
5.479999999999971e+000	4.811941e+000
5.499999999999971e+000	4.903301e+000
5.519999999999970e+000	4.995363e+000
5.539999999999970e+000	5.088108e+000
5.559999999999969e+000	5.181520e+000
5.579999999999969e+000	5.275578e+000
5.599999999999969e+000	5.370266e+000
5.619999999999968e+000	5.465565e+000
5.639999999999968e+000	5.561454e+000
5.659999999999967e+000	5.657917e+000
5.679999999999967e+000	5.754931e+000
5.699999999999966e+000	5.852480e+000
5.719999999999966e+000	5.950542e+000
5.739999999999966e+000	6.049098e+000
5.759999999999965e+000	6.148129e+000
5.779999999999965e+000	6.247614e+000
5.799999999999964e+000	6.347534e+000
5.819999999999964e+000	6.447869e+000
5.839999999999963e+000	6.548599e+000
5.859999999999963e+000	6.649704e+000
5.879999999999963e+000	6.751166e+000
5.899999999999962e+000	6.852963e+000
5.919999999999962e+000	6.955078e+000
5.939999999999961e+000	7.057489e+000
5.959999999999961e+000	7.160180e+000
5.979999999999961e+000	7.263130e+000
5.999999999999960e+000	7.366321e+000
6.019999999999960e+000	7.469733e+000
6.039999999999959e+000	7.573350e+000
6.059999999999959e+000	7.677154e+000
6.079999999999958e+000	7.781125e+000
6.099999999999958e+000	7.885247e+000
6.119999999999958e+000	7.989503e+000
6.139999999999957e+000	8.093876e+000
6.159999999999957e+000	8.198349e+000
6.179999999999956e+000	8.302906e+000
6.199999999999956e+000	8.407532e+000
6.219999999999955e+000	8.512211e+000
6.239999999999955e+000	8.616927e+000
6.259999999999955e+000	8.721666e+000
6.279999999999954e+000	8.826413e+000
6.299999999999954e+000	8.931155e+000
6.319999999999953e+000	9.035878e+000
6.339999999999953e+000	9.140568e+000
6.359999999999952e+000	9.245213e+000
6.379999999999952e+000	9.349798e+000
6.399999999999952e+000	9.454314e+000
6.419999999999951e+000	9.558748e+000
6.439999999999951e+000	9.663088e+000
6.459999999999950e+000	9.767323e+000
6.479999999999950e+000	9.871443e+000
6.499999999999949e+000	9.975436e+000
6.519999999999949e+000	1.007929e+001
6.539999999999949e+000	1.018301e+001
6.559999999999948e+000	1.028656e+001
6.579999999999948e+000	1.038996e+001
6.599999999999947e+000	1.049318e+001
6.619999999999947e+000	1.059622e+001
6.639999999999946e+000	1.069907e+001
6.659999999999946e+000	1.080172e+001
6.679999999999946e+000	1.090417e+001
6.699999999999945e+000	1.100641e+001
6.719999999999945e+000	1.110843e+001
6.739999999999944e+000	1.121023e+001
6.759999999999944e+000	1.131180e+001
6.779999999999943e+000	1.141313e+001
6.799999999999943e+000	1.151422e+001
6.819999999999943e+000	1.161506e+001
6.839999999999942e+000	1.171564e+001
6.859999999999942e+000	1.181598e+001
6.879999999999941e+000	1.191604e+001
6.899999999999941e+000	1.201584e+001
6.919999999999940e+000	1.211537e+001
6.939999999999940e+000	1.221463e+001
6.959999999999940e+000	1.231360e+001
6.979999999999939e+000	1.241230e+001
6.999999999999939e+000	1.251070e+001
7.019999999999938e+000	1.260882e+001
7.039999999999938e+000	1.270665e+001
7.059999999999937e+000	1.280418e+001
7.079999999999937e+000	1.290141e+001
7.099999999999937e+000	1.299834e+001
7.119999999999936e+000	1.309497e+001
7.139999999999936e+000	1.319130e+001
7.159999999999935e+000	1.328731e+001
7.179999999999935e+000	1.338302e+001
7.199999999999935e+000	1.347841e+001
7.219999999999934e+000	1.357350e+001
7.239999999999934e+000	1.366826e+001
7.259999999999933e+000	1.376272e+001
7.279999999999933e+000	1.385685e+001
7.299999999999932e+000	1.395067e+001
7.319999999999932e+000	1.404416e+001
7.339999999999932e+000	1.413734e+001
7.359999999999931e+000	1.423019e+001
7.379999999999931e+000	1.432272e+001
7.399999999999930e+000	1.441492e+001
7.419999999999930e+000	1.450680e+001
7.439999999999929e+000	1.459836e+001
7.459999999999929e+000	1.468959e+001
7.479999999999929e+000	1.478049e+001
7.499999999999928e+000	1.487107e+001
7.519999999999928e+000	1.496132e+001
7.539999999999927e+000	1.505124e+001
7.559999999999927e+000	1.514083e+001
7.579999999999926e+000	1.523010e+001
7.599999999999926e+000	1.531903e+001
7.619999999999926e+000	1.540764e+001
7.639999999999925e+000	1.549592e+001
7.659999999999925e+000	1.558387e+001
7.679999999999924e+000	1.567150e+001
7.699999999999924e+000	1.575879e+001
7.719999999999923e+000	1.584576e+001
7.739999999999923e+000	1.593240e+001
7.759999999999923e+000	1.601871e+001
7.779999999999922e+000	1.610469e+001
7.799999999999922e+000	1.619034e+001
7.819999999999921e+000	1.627567e+001
7.839999999999921e+000	1.636067e+001
7.859999999999920e+000	1.644534e+001
7.879999999999920e+000	1.652969e+001
7.899999999999920e+000	1.661371e+001
7.919999999999919e+000	1.669741e+001
7.939999999999919e+000	1.678078e+001
7.959999999999918e+000	1.686383e+001
7.979999999999918e+000	1.694655e+001
7.999999999999917e+000	1.702895e+001
8.019999999999918e+000	1.711102e+001
8.039999999999917e+000	1.719278e+001
8.059999999999917e+000	1.727421e+001
8.079999999999917e+000	1.735532e+001
8.099999999999916e+000	1.743611e+001
8.119999999999916e+000	1.751657e+001
8.139999999999915e+000	1.759672e+001
8.159999999999915e+000	1.767655e+001
8.179999999999915e+000	1.775606e+001
8.199999999999914e+000	1.783525e+001
8.219999999999914e+000	1.791413e+001
8.239999999999913e+000	1.799269e+001
8.259999999999913e+000	1.807093e+001
8.279999999999912e+000	1.814886e+001
8.299999999999912e+000	1.822647e+001
8.319999999999912e+000	1.830377e+001
8.339999999999911e+000	1.838076e+001
8.359999999999911e+000	1.845743e+001
8.379999999999910e+000	1.853379e+001
8.399999999999910e+000	1.860984e+001
8.419999999999909e+000	1.868558e+001
8.439999999999909e+000	1.876101e+001
8.459999999999909e+000	1.883614e+001
8.479999999999908e+000	1.891095e+001
8.499999999999908e+000	1.898546e+001
8.519999999999907e+000	1.905966e+001
8.539999999999907e+000	1.913356e+001
8.559999999999906e+000	1.920715e+001
8.579999999999906e+000	1.928044e+001
8.599999999999906e+000	1.935342e+001
8.619999999999905e+000	1.942610e+001
8.639999999999905e+000	1.949848e+001
8.659999999999904e+000	1.957056e+001
8.679999999999904e+000	1.964234e+001
8.699999999999903e+000	1.971382e+001
8.719999999999903e+000	1.978500e+001
8.739999999999903e+000	1.985588e+001
8.759999999999902e+000	1.992647e+001
8.779999999999902e+000	1.999676e+001
8.799999999999901e+000	2.006676e+001
8.819999999999901e+000	2.013646e+001
8.839999999999900e+000	2.020587e+001
8.859999999999900e+000	2.027499e+001
8.879999999999900e+000	2.034381e+001
8.899999999999899e+000	2.041234e+001
8.919999999999899e+000	2.048059e+001
8.939999999999898e+000	2.054854e+001
8.959999999999898e+000	2.061621e+001
8.979999999999897e+000	2.068359e+001
8.999999999999897e+000	2.075068e+001
9.019999999999897e+000	2.081748e+001
9.039999999999896e+000	2.088400e+001
9.059999999999896e+000	2.095024e+001
9.079999999999895e+000	2.101620e+001
9.099999999999895e+000	2.108187e+001
9.119999999999894e+000	2.114726e+001
9.139999999999894e+000	2.121237e+001
9.159999999999894e+000	2.127720e+001
9.179999999999893e+000	2.134175e+001
9.199999999999893e+000	2.140603e+001
9.219999999999892e+000	2.147002e+001
9.239999999999892e+000	2.153374e+001
9.259999999999891e+000	2.159719e+001
9.279999999999891e+000	2.166036e+001
9.299999999999891e+000	2.172326e+001
9.319999999999890e+000	2.178588e+001
9.339999999999890e+000	2.184824e+001
9.359999999999889e+000	2.191032e+001
9.379999999999889e+000	2.197213e+001
9.399999999999888e+000	2.203368e+001
9.419999999999888e+000	2.209495e+001
9.439999999999888e+000	2.215596e+001
9.459999999999887e+000	2.221670e+001
9.479999999999887e+000	2.227718e+001
9.499999999999886e+000	2.233739e+001
9.519999999999886e+000	2.239734e+001
9.539999999999886e+000	2.245703e+001
9.559999999999885e+000	2.251645e+001
9.579999999999885e+000	2.257561e+001
9.599999999999884e+000	2.263452e+001
9.619999999999884e+000	2.269316e+001
9.639999999999883e+000	2.275155e+001
9.659999999999883e+000	2.280968e+001
9.679999999999883e+000	2.286755e+001
9.699999999999882e+000	2.292516e+001
9.719999999999882e+000	2.298252e+001
9.739999999999881e+000	2.303963e+001
9.759999999999881e+000	2.309649e+001
9.779999999999880e+000	2.315309e+001
9.799999999999880e+000	2.320944e+001
9.819999999999880e+000	2.326555e+001
9.839999999999879e+000	2.332140e+001
9.859999999999879e+000	2.337700e+001
9.879999999999878e+000	2.343236e+001
9.899999999999878e+000	2.348747e+001
9.919999999999877e+000	2.354234e+001
9.939999999999877e+000	2.359696e+001
9.959999999999877e+000	2.365134e+001
9.979999999999876e+000	2.370547e+001
9.999999999999876e+000	2.375936e+001
1.001999999999988e+001	2.381301e+001
1.003999999999988e+001	2.386643e+001
1.005999999999987e+001	2.391960e+001
1.007999999999987e+001	2.397253e+001
1.009999999999987e+001	2.402523e+001
1.011999999999987e+001	2.407769e+001
1.013999999999987e+001	2.412991e+001
1.015999999999987e+001	2.418190e+001
1.017999999999987e+001	2.423366e+001
1.019999999999987e+001	2.428518e+001
1.021999999999987e+001	2.433647e+001
1.023999999999987e+001	2.438753e+001
1.025999999999987e+001	2.443836e+001
1.027999999999987e+001	2.448896e+001
1.029999999999987e+001	2.453933e+001
1.031999999999987e+001	2.458948e+001
1.033999999999987e+001	2.463940e+001
1.035999999999987e+001	2.468909e+001
1.037999999999987e+001	2.473856e+001
1.039999999999987e+001	2.478780e+001
1.041999999999987e+001	2.483682e+001
1.043999999999987e+001	2.488562e+001
1.045999999999987e+001	2.493420e+001
1.047999999999987e+001	2.498255e+001
1.049999999999987e+001	2.503069e+001
1.051999999999987e+001	2.507861e+001
1.053999999999986e+001	2.512631e+001
1.055999999999986e+001	2.517380e+001
1.057999999999986e+001	2.522106e+001
1.059999999999986e+001	2.526812e+001
1.061999999999986e+001	2.531496e+001
1.063999999999986e+001	2.536158e+001
1.065999999999986e+001	2.540800e+001
1.067999999999986e+001	2.545420e+001
1.069999999999986e+001	2.550019e+001
1.071999999999986e+001	2.554597e+001
1.073999999999986e+001	2.559155e+001
1.075999999999986e+001	2.563691e+001
1.077999999999986e+001	2.568207e+001
1.079999999999986e+001	2.572702e+001
1.081999999999986e+001	2.577177e+001
1.083999999999986e+001	2.581631e+001
1.085999999999986e+001	2.586065e+001
1.087999999999986e+001	2.590479e+001
1.089999999999986e+001	2.594872e+001
1.091999999999986e+001	2.599245e+001
1.093999999999986e+001	2.603598e+001
1.095999999999986e+001	2.607932e+001
1.097999999999986e+001	2.612245e+001
1.099999999999985e+001	2.616539e+001
1.101999999999985e+001	2.620813e+001
1.103999999999985e+001	2.625067e+001
1.105999999999985e+001	2.629302e+001
1.107999999999985e+001	2.633518e+001
1.109999999999985e+001	2.637714e+001
1.111999999999985e+001	2.641891e+001
1.113999999999985e+001	2.646049e+001
1.115999999999985e+001	2.650187e+001
1.117999999999985e+001	2.654307e+001
1.119999999999985e+001	2.658408e+001
1.121999999999985e+001	2.662490e+001
1.123999999999985e+001	2.666553e+001
1.125999999999985e+001	2.670597e+001
1.127999999999985e+001	2.674623e+001
1.129999999999985e+001	2.678631e+001
1.131999999999985e+001	2.682620e+001
1.133999999999985e+001	2.686591e+001
1.135999999999985e+001	2.690543e+001
1.137999999999985e+001	2.694477e+001
1.139999999999985e+001	2.698393e+001
1.141999999999985e+001	2.702291e+001
1.143999999999985e+001	2.706172e+001
1.145999999999985e+001	2.710034e+001
1.147999999999984e+001	2.713878e+001
1.149999999999984e+001	2.717705e+001
1.151999999999984e+001	2.721515e+001
1.153999999999984e+001	2.725306e+001
1.155999999999984e+001	2.729081e+001
1.157999999999984e+001	2.732838e+001
1.159999999999984e+001	2.736577e+001
1.161999999999984e+001	2.740300e+001
1.163999999999984e+001	2.744005e+001
1.165999999999984e+001	2.747693e+001
1.167999999999984e+001	2.751364e+001
1.169999999999984e+001	2.755019e+001
1.171999999999984e+001	2.758656e+001
1.173999999999984e+001	2.762277e+001
1.175999999999984e+001	2.765881e+001
1.177999999999984e+001	2.769469e+001
1.179999999999984e+001	2.773040e+001
1.181999999999984e+001	2.776594e+001
1.183999999999984e+001	2.780132e+001
1.185999999999984e+001	2.783654e+001
1.187999999999984e+001	2.787160e+001
1.189999999999984e+001	2.790650e+001
1.191999999999984e+001	2.794123e+001
1.193999999999983e+001	2.797581e+001
1.195999999999983e+001	2.801022e+001
1.197999999999983e+001	2.804448e+001
1.199999999999983e+001	2.807858e+001
1.201999999999983e+001	2.811252e+001
1.203999999999983e+001	2.814631e+001
1.205999999999983e+001	2.817994e+001
1.207999999999983e+001	2.821342e+001
1.209999999999983e+001	2.824674e+001
1.211999999999983e+001	2.827991e+001
1.213999999999983e+001	2.831293e+001
1.215999999999983e+001	2.834579e+001
1.217999999999983e+001	2.837851e+001
1.219999999999983e+001	2.841107e+001
1.221999999999983e+001	2.844349e+001
1.223999999999983e+001	2.847575e+001
1.225999999999983e+001	2.850787e+001
1.227999999999983e+001	2.853984e+001
1.229999999999983e+001	2.857166e+001
1.231999999999983e+001	2.860334e+001
1.233999999999983e+001	2.863487e+001
1.235999999999983e+001	2.866626e+001
1.237999999999983e+001	2.869750e+001
1.239999999999982e+001	2.872860e+001
1.241999999999982e+001	2.875956e+001
1.243999999999982e+001	2.879037e+001
1.245999999999982e+001	2.882105e+001
1.247999999999982e+001	2.885158e+001
1.249999999999982e+001	2.888197e+001
1.251999999999982e+001	2.891223e+001
1.253999999999982e+001	2.894234e+001
1.255999999999982e+001	2.897232e+001
1.257999999999982e+001	2.900216e+001
1.259999999999982e+001	2.903186e+001
1.261999999999982e+001	2.906143e+001
1.263999999999982e+001	2.909086e+001
1.265999999999982e+001	2.912016e+001
1.267999999999982e+001	2.914932e+001
1.269999999999982e+001	2.917836e+001
1.271999999999982e+001	2.920725e+001
1.273999999999982e+001	2.923602e+001
1.275999999999982e+001	2.926465e+001
1.277999999999982e+001	2.929316e+001
1.279999999999982e+001	2.932153e+001
1.281999999999982e+001	2.934977e+001
1.283999999999982e+001	2.937789e+001
1.285999999999982e+001	2.940588e+001
1.287999999999981e+001	2.943373e+001
1.289999999999981e+001	2.946147e+001
1.291999999999981e+001	2.948907e+001
1.293999999999981e+001	2.951655e+001
1.295999999999981e+001	2.954391e+001
1.297999999999981e+001	2.957114e+001
1.299999999999981e+001	2.959825e+001
1.301999999999981e+001	2.962523e+001
1.303999999999981e+001	2.965209e+001
1.305999999999981e+001	2.967883e+001
1.307999999999981e+001	2.970544e+001
1.309999999999981e+001	2.973194e+001
1.311999999999981e+001	2.975832e+001
1.313999999999981e+001	2.978457e+001
1.315999999999981e+001	2.981071e+001
1.317999999999981e+001	2.983673e+001
1.319999999999981e+001	2.986263e+001
1.321999999999981e+001	2.988841e+001
1.323999999999981e+001	2.991408e+001
1.325999999999981e+001	2.993963e+001
1.327999999999981e+001	2.996506e+001
1.329999999999981e+001	2.999038e+001
1.331999999999981e+001	3.001559e+001
1.333999999999980e+001	3.004068e+001
1.335999999999980e+001	3.006565e+001
1.337999999999980e+001	3.009052e+001
1.339999999999980e+001	3.011527e+001
1.341999999999980e+001	3.013991e+001
1.343999999999980e+001	3.016444e+001
1.345999999999980e+001	3.018886e+001
1.347999999999980e+001	3.021317e+001
1.349999999999980e+001	3.023737e+001
1.351999999999980e+001	3.026146e+001
1.353999999999980e+001	3.028544e+001
1.355999999999980e+001	3.030931e+001
1.357999999999980e+001	3.033308e+001
1.359999999999980e+001	3.035674e+001
1.361999999999980e+001	3.038029e+001
1.363999999999980e+001	3.040374e+001
1.365999999999980e+001	3.042708e+001
1.367999999999980e+001	3.045032e+001
1.369999999999980e+001	3.047346e+001
1.371999999999980e+001	3.049648e+001
1.373999999999980e+001	3.051941e+001
1.375999999999980e+001	3.054223e+001
1.377999999999980e+001	3.056496e+001
1.379999999999980e+001	3.058758e+001
1.381999999999979e+001	3.061010e+001
1.383999999999979e+001	3.063251e+001
1.385999999999979e+001	3.065483e+001
1.387999999999979e+001	3.067705e+001
1.389999999999979e+001	3.069917e+001
1.391999999999979e+001	3.072119e+001
1.393999999999979e+001	3.074311e+001
1.395999999999979e+001	3.076494e+001
1.397999999999979e+001	3.078666e+001
1.399999999999979e+001	3.080829e+001
1.401999999999979e+001	3.082983e+001
1.403999999999979e+001	3.085127e+001
1.405999999999979e+001	3.087261e+001
1.407999999999979e+001	3.089386e+001
1.409999999999979e+001	3.091501e+001
1.411999999999979e+001	3.093607e+001
1.413999999999979e+001	3.095704e+001
1.415999999999979e+001	3.097791e+001
1.417999999999979e+001	3.099870e+001
1.419999999999979e+001	3.101939e+001
1.421999999999979e+001	3.103998e+001
1.423999999999979e+001	3.106049e+001
1.425999999999979e+001	3.108091e+001
1.427999999999978e+001	3.110123e+001
1.429999999999978e+001	3.112147e+001
1.431999999999978e+001	3.114162e+001
1.433999999999978e+001	3.116167e+001
1.435999999999978e+001	3.118164e+001
1.437999999999978e+001	3.120153e+001
1.439999999999978e+001	3.122132e+001
1.441999999999978e+001	3.124103e+001
1.443999999999978e+001	3.126065e+001
1.445999999999978e+001	3.128018e+001
1.447999999999978e+001	3.129963e+001
1.449999999999978e+001	3.131899e+001
1.451999999999978e+001	3.133827e+001
1.453999999999978e+001	3.135746e+001
1.455999999999978e+001	3.137657e+001
1.457999999999978e+001	3.139560e+001
